X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,Tipo
0.023071,-0.218612,1.95844,0.019867,0.129236,2.00156,0.016671,0.461769,2.02892,0.042873,0.624594,2.03373,-0.135983,0.309726,1.9675,-0.194109,0.051344,1.91741,-0.191305,-0.150552,1.80824,-0.180444,-0.199624,1.79044,0.195711,0.297189,2.01061,0.228611,0.033322,1.96298,0.224462,-0.166076,1.84924,0.207065,-0.203002,1.83769,-0.053691,-0.210872,1.90754,-0.057976,-0.647946,1.89696,-0.080281,-1.08484,1.83441,-0.067688,-1.09163,1.71251,0.098863,-0.217091,1.92687,0.095631,-0.649084,1.88772,0.118946,-1.08893,1.79785,0.127742,-1.09538,1.6762,0.017477,0.38058,2.02467,-0.1604,-0.264742,1.76675,-0.143655,-0.210084,1.76142,0.194014,-0.268063,1.80367,0.250838,-0.189063,1.81972,0
0.023061,-0.218705,1.95845,0.01982,0.129202,2.00156,0.016541,0.46179,2.02889,0.042763,0.624669,2.03376,-0.136056,0.309729,1.96752,-0.194109,0.051343,1.91742,-0.191313,-0.150648,1.80854,-0.180743,-0.199703,1.79144,0.195454,0.296861,2.01034,0.228668,0.033584,1.96323,0.224626,-0.165869,1.84967,0.20691,-0.202613,1.83859,-0.053698,-0.210881,1.90754,-0.057482,-0.647596,1.89703,-0.081783,-1.0847,1.83638,-0.06922,-1.09148,1.71454,0.09886,-0.217372,1.92688,0.095855,-0.648765,1.88743,0.119617,-1.08894,1.79742,0.128341,-1.09535,1.67584,0.017375,0.380584,2.02465,-0.159094,-0.265811,1.76877,-0.140856,-0.209341,1.76844,0.194774,-0.269354,1.80732,0.253609,-0.185527,1.82334,0
0.023127,-0.218652,1.95836,0.019806,0.12922,2.00152,0.016448,0.461807,2.02887,0.042627,0.624664,2.03368,-0.136118,0.309733,1.96748,-0.194109,0.05134,1.91742,-0.191341,-0.150759,1.80881,-0.181311,-0.200316,1.79114,0.195371,0.297207,2.01046,0.228664,0.033602,1.96328,0.224692,-0.165855,1.84979,0.206833,-0.202403,1.83776,-0.053603,-0.210644,1.90741,-0.057596,-0.647005,1.89688,-0.081505,-1.08436,1.83677,-0.068933,-1.09112,1.715,0.09892,-0.217419,1.9268,0.096259,-0.648832,1.8869,0.119362,-1.08895,1.79747,0.128105,-1.09534,1.67596,0.017309,0.380602,2.02462,-0.160084,-0.26508,1.76956,-0.137686,-0.211137,1.77704,0.195075,-0.266931,1.80468,0.252407,-0.186801,1.82125,0
0.023136,-0.218645,1.95834,0.01973,0.129241,2.0015,0.016118,0.461877,2.02883,0.042452,0.624656,2.03372,-0.136357,0.309712,1.9675,-0.194145,0.051284,1.91757,-0.191398,-0.150795,1.80896,-0.181237,-0.200293,1.79131,0.195293,0.297236,2.01043,0.228617,0.03367,1.96336,0.22477,-0.165814,1.84996,0.207482,-0.201952,1.83813,-0.053595,-0.21056,1.90739,-0.057782,-0.647053,1.89699,-0.081403,-1.08412,1.83677,-0.068862,-1.09087,1.71505,0.098941,-0.217473,1.92676,0.096336,-0.649057,1.88674,0.120325,-1.0887,1.79665,0.129021,-1.09507,1.6752,0.017057,0.380659,2.02458,-0.159675,-0.265826,1.76813,-0.140008,-0.208659,1.77128,0.194578,-0.2676,1.80405,0.252933,-0.186896,1.82228,0
0.023119,-0.218648,1.95833,0.019561,0.129211,2.00143,0.01569,0.461811,2.02869,0.042157,0.624687,2.03365,-0.137521,0.309478,1.96741,-0.194173,0.051136,1.91766,-0.191447,-0.150976,1.80919,-0.182132,-0.200441,1.79194,0.195103,0.297366,2.01039,0.228591,0.033749,1.9635,0.224817,-0.165731,1.85015,0.207053,-0.201128,1.83851,-0.053631,-0.210479,1.90743,-0.057466,-0.647245,1.89687,-0.081618,-1.0839,1.83692,-0.069118,-1.09064,1.71523,0.098889,-0.217608,1.92664,0.096338,-0.648384,1.88624,0.120544,-1.08874,1.7966,0.12919,-1.09509,1.67519,0.016699,0.380603,2.02446,-0.162205,-0.266534,1.77117,-0.13919,-0.214198,1.77789,0.194262,-0.268434,1.80821,0.251207,-0.189437,1.82046,0
0.023111,-0.218647,1.95833,0.019429,0.129205,2.00141,0.015333,0.461799,2.02865,0.041569,0.624782,2.03356,-0.137604,0.309561,1.96738,-0.194274,0.051032,1.91791,-0.1915,-0.150984,1.80929,-0.182334,-0.200623,1.79167,0.19497,0.297452,2.01036,0.228511,0.033889,1.96353,0.224839,-0.165616,1.85027,0.206465,-0.201149,1.83848,-0.053641,-0.210421,1.90744,-0.057875,-0.647004,1.89684,-0.081422,-1.08375,1.83697,-0.06893,-1.09048,1.71531,0.098859,-0.217667,1.9266,0.09671,-0.648825,1.88529,0.121236,-1.08876,1.79621,0.129864,-1.0951,1.67483,0.016402,0.380594,2.02443,-0.161329,-0.26632,1.7689,-0.137828,-0.214583,1.78276,0.192946,-0.268246,1.80699,0.251364,-0.189294,1.82049,0
0.023044,-0.218614,1.95827,0.019123,0.129303,2.00137,0.014655,0.46202,2.02873,0.040947,0.624788,2.03332,-0.137708,0.30959,1.96741,-0.194413,0.050865,1.91816,-0.19163,-0.151186,1.80966,-0.183875,-0.201137,1.79218,0.194797,0.297497,2.01026,0.228449,0.033983,1.9636,0.224898,-0.165541,1.85041,0.206252,-0.20098,1.83776,-0.053748,-0.210292,1.90743,-0.058231,-0.646625,1.89682,-0.081351,-1.08353,1.83698,-0.068893,-1.09024,1.71536,0.098796,-0.217715,1.92645,0.096715,-0.648701,1.88514,0.121724,-1.08881,1.79703,0.130312,-1.09514,1.67568,0.015823,0.380783,2.02446,-0.163235,-0.266699,1.77103,-0.140919,-0.213227,1.77327,0.195053,-0.266869,1.80699,0.252265,-0.187634,1.82156,0
0.023046,-0.218595,1.95827,0.018943,0.129366,2.00133,0.01408,0.462147,2.02858,0.039803,0.624877,2.03286,-0.139453,0.309558,1.96785,-0.194446,0.050633,1.9183,-0.191695,-0.151449,1.8099,-0.183978,-0.201603,1.79146,0.194583,0.297699,2.01023,0.228347,0.034116,1.96362,0.224911,-0.16542,1.85048,0.206575,-0.200337,1.83732,-0.053738,-0.210211,1.9075,-0.058438,-0.646601,1.89674,-0.081648,-1.08341,1.83781,-0.069372,-1.09012,1.71619,0.098796,-0.217712,1.92643,0.09682,-0.648224,1.88478,0.122219,-1.08867,1.79667,0.130609,-1.09498,1.67533,0.015356,0.380896,2.02434,-0.162483,-0.266625,1.76979,-0.137223,-0.210251,1.80135,0.195928,-0.266409,1.80785,0.254246,-0.185507,1.82393,0
0.023359,-0.218429,1.9582,0.018657,0.129444,2.00131,0.012574,0.46221,2.02851,0.038216,0.624976,2.03245,-0.140346,0.30951,1.96811,-0.194629,0.050185,1.91863,-0.19196,-0.15192,1.81031,-0.183301,-0.203007,1.79135,0.193838,0.298305,2.00975,0.228303,0.034552,1.96387,0.225026,-0.165071,1.85092,0.206797,-0.198634,1.8373,-0.053463,-0.210016,1.90755,-0.058861,-0.646656,1.89692,-0.082305,-1.0831,1.83911,-0.070238,-1.0898,1.71747,0.099159,-0.217581,1.92626,0.097822,-0.647741,1.88355,0.121547,-1.08882,1.79762,0.129729,-1.09511,1.67627,0.014219,0.380977,2.02429,-0.16157,-0.268394,1.7704,-0.153209,-0.202748,1.76196,0.19692,-0.26433,1.8066,0.253887,-0.184533,1.82372,0
0.033631,-0.214519,1.95814,0.02339,0.130963,2.00058,0.013916,0.462353,2.02742,0.040647,0.624955,2.02989,-0.140104,0.309934,1.96802,-0.193815,0.051545,1.92015,-0.18894,-0.151146,1.81292,-0.170121,-0.201218,1.7923,0.195963,0.300477,2.00967,0.235261,0.03425,1.96737,0.232764,-0.164767,1.85309,0.218716,-0.20356,1.83583,-0.043598,-0.207209,1.90706,-0.055614,-0.642064,1.90182,-0.08086,-1.07106,1.8359,-0.068988,-1.0778,1.71439,0.109502,-0.212712,1.92682,0.13405,-0.632331,1.85665,0.166818,-1.0796,1.82654,0.173995,-1.08619,1.70523,0.016271,0.381399,2.02333,-0.150045,-0.269948,1.77399,-0.127391,-0.19752,1.79034,0.209604,-0.251981,1.81029,0.261832,-0.216321,1.82788,0
